interval_left,interval_right,mean_G,mean_n_ln2,S_est,Rk
1000000.0,1300000.0,6905.54758,5903.125177686419,2.3396243081893973,1.0527590126574167
1300000.0,1600000.0,8403.733166666667,7202.708392638661,2.333492544347757,1.0718747127416128
1600000.0,1900000.0,9855.632326666666,8467.51328913946,2.327869349625379,1.0841993692849325
1900000.0,2200000.0,11281.865006666667,9704.649145448959,2.325043355525604,1.0937043980000187
2200000.0,2500000.0,12669.35744,10918.924467319006,2.320623698409151,1.0998318312422508
2500000.0,2800000.0,14037.908686666668,12113.795869313599,2.3176729801477323,1.1048730756633864
2800000.0,3100000.0,15387.679313333334,13291.860426011614,2.3153537308020917,1.1089562862942666
3100000.0,3400000.0,16722.110326666665,14455.136113749148,2.3136565709348473,1.1124144034663057
3400000.0,3700000.0,18029.1303,15605.232992576583,2.3106518574348063,1.1145444554891977
3700000.0,4000000.0,19331.523673333333,16743.463449221807,2.309142756749269,1.1168540010695986
4000000.0,4300000.0,20616.69668,17870.916303352096,2.307290385119522,1.1185704441191497
4300000.0,4600000.0,21887.5423,18988.508402084095,2.305346142680456,1.1198983403057983
4600000.0,4900000.0,23152.721406666667,20097.021609730546,2.3040947913850696,1.1212824800072279
4900000.0,5200000.0,24413.978333333333,21197.1299944869,2.3035173478374755,1.1227637850647345
5200000.0,5500000.0,25657.6689,22289.420241573924,2.3022284673105733,1.1237052664328402
5500000.0,5800000.0,26881.72482666667,23374.407267666964,2.3000989517155594,1.1240723273102082
5800000.0,6100000.0,28106.943173333333,24452.54636080455,2.298897035802086,1.1247528055878624
6100000.0,6400000.0,29326.91908,25524.24275588365,2.297965848427749,1.1254461036537935
6400000.0,6700000.0,30532.99834,26589.859285016548,2.296589689529152,1.1258178108220798
6700000.0,7000000.0,31745.248253333335,27649.722560560018,2.2962435289397973,1.1266043158017789
7000000.0,7300000.0,32950.526293333336,28704.128024399095,2.2958736990947584,1.1273005821430269
7300000.0,7600000.0,34134.97144666667,29753.344110368213,2.294530075009053,1.1274490218099127
7600000.0,7900000.0,35318.97488666666,30797.61570512285,2.2936174816150934,1.1277473066446402
7900000.0,8200000.0,36495.78907333333,31837.167048357263,2.2926530503106712,1.1279650618059103
8200000.0,8500000.0,37667.75326,32872.20418075604,2.2917692438799926,1.128173266600706
8500000.0,8800000.0,38845.367626666666,33902.91702396209,2.2915649175090937,1.1286719664953762
8800000.0,9100000.0,40006.914666666664,34929.48115875119,2.290724816944118,1.1288178916441158
9100000.0,9400000.0,41164.262226666666,35952.059353873025,2.289952952151663,1.128961459422572
9400000.0,9700000.0,42317.19813333333,36970.80288748992,2.2892225663647956,1.129092849912615
9700000.0,10000000.0,43463.87294,37985.85269499455,2.288424234621817,1.12916102649183
